CAS,CAS,Compound Name by Eybna,Compound Name,PubChem_CID,pubchemcid ,Eybna molecules,SMILES,Canonical_SMILES,Isomeric_SMILES,Canonical SMILES,Isomeric SMILES,Physical Description,Description,molecular type,Molecule family,Found in Cannabis,FEMA number,FEMA_No,Botanical Source,molecular mass (g/mol),Molecular Weight [g/mol],Empirical_Formula,molecular formula,Boiling Point [°C] @760 mmHg,boiling point (celsius),Melting Point [°C],Melting point (celcius),Density [g/cm3] @25 °C,density (g/cm3),Flash Point [°C],flash point (celsius),Vapor Pressure [mmHg] @25 °C,vapour pressure (kPa),Water Solubility [mg/L] @25 °C (water),Solubility General,Water Solubility (mg/l @ 20C),Physical State ,Physical State,Physical Description,Oral LD50 rat (mg/kg),Oral LD50 mouse (mg/kg),Dermal LD50 rabbit (mg/kg),ODT(ppb),aroma description,Aroma Color,Intensity (1-10),Flavor,Flavor,Odor,Odor,Odor Threshold,Long Description,Family Type
116-53-0,116-53-0,2-Methylbutyric Acid (2-Methylbutanoic acid/Butanoic acid),2-Methylbutyric Acid (2-Methylbutanoic acid/Butanoic acid),8314,8314,1,CCC(C)C(=O)O,CCC(C)C(=O)O,,CCC(C)C(O)=O,,Liquid; Solid; colourless to pale yellow liquid,"Acidic, fruity, dirty, cheesey with a fermented nuance",acid,Oxygenated Aliphatics,1,2695,2695,sugar cane and-or sweet potato,102.133,102.13,C5H10O2,C5H10O2,,176,,-70,,0.929,,73.89,,0.073860603,,45 mg/mL at 20 °C; 1 ml in 1 ml 95% alcohol (in ethanol),45000,liquid ,liquid,Liquid; Solid; colourless to pale yellow liquid,3200,,10,,,#fff5a1,,,Acidic,Vinneger,,,"Acetic, stinky, sour, cheesy notes, sour candy","Candy, Cheesy, Sour"
111-13-7,111-13-7,2-Octanone (Hexyl methyl ketone),2-Octanone (Hexyl methyl ketone),8093,8093,1,CCCCCCC(=O)C,CCCCCCC(C)=O,,CCCCCCC(=O)C,,Colorless liquid with a pleasant odor; [Hawley]; Liquid; colourless to pale yellow liquid with an apple-like odour,"Musty, ketonic, bleu and parmesan cheese-like with earthy and dairy nuances",ketone,Oxygenated Aliphatics,1,2802,2802,cane sugar and-or sweet potato,128.214,128.21,C8H16O,C8H16O,,173,-16,-15,,0.815,51.67,62.78,1.35,0.2293145,899,"Miscible with alcohol, ether; 1:9-12 IN 50% ALCOHOL, 1:1-1.7 IN 70% ALCOHOL; Soluble in alcohol, hydrocarbons, ether, esters, etc.; In water, 899 mg/L at 20 °C; 0.899 mg/mL at 20 °C; 1 ml in 1 ml 95% alcohol (in ethanol)",900,liquid ,liquid,Colorless liquid with a pleasant odor; [Hawley]; Liquid; colourless to pale yellow liquid with an apple-like odour,5000,3823,1337,,,#ff6060,,Camphor taste; CHEESE; BITTER,Sweet minty cherry,Cherry,"FATTY, GREEN CHEESE AROMA; FLORAL, BITTER, FRUITY (UNRIPE APPLE); Pleasant","Odor Threshold Low: 248.0 [ppm]; Odor threshold from HSDB; 1,304 mg/cu m = 248 ppm","Blue cheese, fruity, cherry candy, sharp, stinky","Cheesy, Candy, Fruity, Sweet, Spicy"
107-87-9,107-87-9,2-Pentanone (Methyl propyl ketone),2-Pentanone (Methyl propyl ketone),7895,7895,1,CCCC(=O)C,CCCC(C)=O,,CCCC(=O)C,,"Methyl propyl ketone appears as a clear colorless liquid with the odor of fingernail polish. Flash point 45 °F. Less dense than water and soluble in water. Hence floats on water. Density 0.809 g / cm3. Vapors heavier than air.; Liquid; Colorless to water-white liquid with a characteristic acetone-like odor; [NIOSH]; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless to pale yellow, mobile liquid with an ethereal, fruity odour; Colorless to water-white liquid with a characteristic acetone-like odor.","Etherial, diffusive and sweet banana-like with fermented woody nuance",ketone,Oxygenated Aliphatics,1,2842,2842,cane sugar and-or sweet potato,86.133,86.13,C5H10O,C5H10O,101.11,100,-77.78,-78,,0.8,7.22,7.22,35.4,5.1422445,4,"10 to 50 mg/mL at 72 °F (NTP, 1992); Slightly soluble in carbon tetrachloride; Miscible with alcohol and ether; In water, 4.3X10+4 mg/L at 25 °C; 43 mg/mL at 25 °C; Solubility in water, g/100ml at 20 °C: 4 (moderate); miscible with alcohol, ether, propylene glycol, oils; 1 ml in 25 ml water; 6%",0.0043,liquid ,gas,"Methyl propyl ketone appears as a clear colorless liquid with the odor of fingernail polish. Flash point 45 °F. Less dense than water and soluble in water. Hence floats on water. Density 0.809 g / cm3. Vapors heavier than air.; Liquid; Colorless to water-white liquid with a characteristic acetone-like odor; [NIOSH]; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless to pale yellow, mobile liquid with an ethereal, fruity odour; Colorless to water-white liquid with a characteristic acetone-like odor.",3730,2205,6500,,,#646061,,,Bitter liccorich,Acetone,Characteristic acetone-like odor,Odor Threshold Low: 3.1 [ppm]; Odor Threshold High: 13.6 [ppm]; Detection odor threshold from AIHA (mean = 7.7 ppm); Odor detection limit in air 4.41x10+1 ppm.,"Nail polish, sharpie marker, alcoholic",Alcoholic
112-12-9,112-12-9,2-Undecanone (Methyl nonyl ketone/2 Hendecanone),2-Undecanone (Methyl nonyl ketone/2 Hendecanone),8163,8163,1,CCCCCCCCCC(=O)C,CCCCCCCCCC(C)=O,,O=C(CCCCCCCCC)C,,"Colorless, oily liquid; [HSDB] Colorless liquid; mp = 11-13 deg C; [MSDSonline]; Liquid; colourless to pale yellow liquid with a citrus, fatty, rue-like odour","Waxy, fruity, ketonic with fatty pineapple nuances",ketone,Oxygenated Aliphatics,1,3093,3093,"cane sugar and-or sweet potato, coconut oil",170.29554,170.29,C11H22O,C11H22O,,231.5,15,12,,0.822,88.89,88.89,,0.01306559397,,"Insoluble in water. Soluble in ethanol, ether, acetone, benzene, carbon tetrachloride, chloroform.; soluble in alcohol and oil; insoluble in water; 1 ml in 1 ml 95% alcohol (in ethanol)",19.71,liquid ,liquid,"Colorless, oily liquid; [HSDB] Colorless liquid; mp = 11-13 deg C; [MSDSonline]; Liquid; colourless to pale yellow liquid with a citrus, fatty, rue-like odour",5000,950,5000,,,#fffca1,,,"Blue cheese, truffle",Blue cheese,Strong odor,,"Mellow cheese, sweet cake notes, slightly truffle scent","Cheesy, Creamy"
14667-55-1,14667-55-1,"2,3,5-TRIMETHYL PYRAZINE","2,3,5-TRIMETHYL PYRAZINE",26808,26808,1,CC1=CN=C(C(=N1)C)C,Cc1cnc(C)c(C)n1,,Cc1cnc(C)c(C)n1,,"colourless to slightly yellow liquid with a roasted nut, baked potato odour","Nutty, musty, powdery cocoa, potato and musty",aromatic compund,Aromatic Ring Compounds,1,3244,3244,Sugar beet,122.17,122.17,C7H10N2,C7H10N2,,171,,156,,0.96,,54.44,,0.2298478,,"soluble in water, oils, organic solvents; miscible at room temperature (in ethanol)",0.00521,liquid ,liquid,"colourless to slightly yellow liquid with a roasted nut, baked potato odour",806,,,,,#b27424,8.50,,,Nutty,,,"Warm, roasted, and nutty with distinct notes of peanut butter, toasted cereal, and a hint of cocoa powder.",Nutty
123-32-0,123-32-0,"2,5-DIMETHYLPYRAZINE","2,5-DIMETHYLPYRAZINE",31252,31252,1,CC1=CN=C(C=N1)C,Cc1cnc(C)cn1,,Cc1cnc(C)cn1,,"Colorless liquid with a pleasant odor; mp = 15 deg C; [Alfa Aesar MSDS]; Liquid; colourless to slightly yellow liquid with an earthy, potato-like odour","Nutty, peanut, musty, earthy, powdery and slightly roasted with a cocoa powder nuance",pyrizine,Aromatic Ring Compounds,1,3272,3272,soy beans,108.14376,108.14,C6H8N2,C6H8N2,,154,15,15,,0.98,,54,,0.5306231,,"soluble in water, organic solvents, oils; miscible at room temperature (in ethanol)",0.003197,liquid ,liquid,"Colorless liquid with a pleasant odor; mp = 15 deg C; [Alfa Aesar MSDS]; Liquid; colourless to slightly yellow liquid with an earthy, potato-like odour",1020,,,,,#703c21,9.00,,,Nutty,,,"Nutty and roasted, with a warm, earthy scent reminiscent of toasted nuts or roasted coffee beans.",Nutty
136954-20-6,136954-20-6,3-MERCAPTOHEXYL ACETATE,3-MERCAPTOHEXYL ACETATE,518810,518810,1,CCCC(CCOC(=O)C)S,CCCC(S)CCOC(C)=O,,"CCCC(S)CCOC(C)=O
",,clear liquid,floral fruity pear tropical passion fruit blackberry raspberry,ester,Sulfur & Nitrogen modified Compounds,1,3851,3851,,176.27892,176.28,C8H16O2S,C8H16O2S,,186,,N/A,,0.99,,101.11,,0.006532797,,insoluble in water; soluble in ethanol and heptane,284.5,liquid ,liquid,clear liquid,,,,,,#444c41,9.00,,,Sulfuric,,,"A clear and deep sulfurous aroma with a slightly savory finish, salty tones that almost evoke seasoned meat or sausage, reminiscent of a skunk-like scent blended with kush and a funky twist.","savory, Sulfuric"
81925-81-7,81925-81-7,5-METHYL-2-HEPTEN-4-ONE,5-METHYL-2-HEPTEN-4-ONE,5362588,5362588,1,CCC(C)C(=O)/C=C/C,CC=CC(=O)C(C)CC,C/C=C/C(=O)C(C)CC,O=C(C(CC)C)\C=C\C,,"Colourless liquid; hazelnut, metallic, buttey odour",raw nut skin myrcene ketonic sweet hazelnut filbert,ketone,Oxygenated Aliphatics,0,3761,3761,Corylus avellana,126.19878,126.2,C8H14O,C8H14O,,170,,-66.9,,0.84,,52.22,,0.16625302,,slightly soluble in water; soluble in oils; Miscible at room temperature (in ethanol),1208,liquid ,liquid,"Colourless liquid; hazelnut, metallic, buttey odour",,,,,,#7d5645,7.00,,,Hazelnut,,,"Bright top notes with a nougat-like softness and airy lift, evolving into a delicate lemon-floral accord. Finishes with a subtle, almost elusive kiwi-like afterglow.",Nutty
620-02-0,620-02-0,5-methylfurfural (5-Methyl-2-furaldehyde),5-methylfurfural (5-Methyl-2-furaldehyde),12097,12097,1,CC1=CC=C(O1)C=O,Cc1ccc(C=O)o1,,"[H]C(=O)c1ccc(C)o1
",,"Colourless liquid, spicy-sweet, warm and slightly caramellic odour","Sweet, caramellic, bready, brown, coffee-like",aldehyde,Oxygenated Aliphatics,1,2702,2702,Natural rhamnose,110.11222,110.11,C6H6O2,C6H6O2,,187,,171,,1.095,,72.78,,0.085859617,,slightly soluble in water; soluble in oils; miscible (in ethanol),0.002911,liquid ,liquid,"Colourless liquid, spicy-sweet, warm and slightly caramellic odour",2200,,,,,,,,,,,,,
64-19-7,64-19-7,Acetic Acid,Acetic Acid,176,176,1,CC(=O)O,CC(=O)O,,"CC(O)=O",,"Acetic acid, glacial appears as a clear colorless liquid with a strong odor of vinegar. Flash point 104 °F. Density 8.8 lb / gal. Corrosive to metals and tissue. Used to make other chemicals, as a food additive, and in petroleum production.; Acetic acid, solution, more than 10% but not more than 80% acid appears as a colorless aqueous solution. Smells like vinegar. Corrosive to metals and tissue.; Acetic acid, solution, more than 80% acid is a clear colorless aqueous solution with a pungent odor.; NKRA; Liquid, Other Solid; Liquid; Clear, colourless liquid having a pungent, characteristic odour; Colorless liquid or crystals with a sour, vinegar-like odor; Note: Pure compound is a solid below 62 degrees F. Often used in an aqueous solution; [NIOSH]; Liquid; COLOURLESS LIQUID WITH PUNGENT ODOUR.; clear, colourless liquid/pungent odour; Colorless liquid or crystals with a sour, vinegar-like odor.; Colorless liquid or crystals with a sour, vinegar-like odor. [Note: Pure compound is a solid below 62 °F. Often used in an aqueous solution.]",sharp pungent sour vinegar,acid,Oxygenated Aliphatics,1,2006,2006,"apples, grapes, pineapple, strawberry",60.05228,60.05,CH3COOH,C2H4O2,117.78,117,16.61,16.6,,1.047,40,40,15.7,2.093161,,"greater than or equal to 100 mg/mL at 73 °F (NTP, 1992); 1000000 mg/L (at 25 °C); Miscible with water; Miscible with ethanol, ethyl ether, acetone, benzene; soluble in carbon tetrachloride, carbon disulfide; Miscible with glycerol; insoluble in carbon disulfide; 1000.0 mg/mL; Solubility in water: miscible; miscible with water, alcohol, and glycerrin; Miscible",0.00479,liquid ,liquid,"Acetic acid, glacial appears as a clear colorless liquid with a strong odor of vinegar. Flash point 104 °F. Density 8.8 lb / gal. Corrosive to metals and tissue. Used to make other chemicals, as a food additive, and in petroleum production.; Acetic acid, solution, more than 10% but not more than 80% acid appears as a colorless aqueous solution. Smells like vinegar. Corrosive to metals and tissue.; Acetic acid, solution, more than 80% acid is a clear colorless aqueous solution with a pungent odor.; NKRA; Liquid, Other Solid; Liquid; Clear, colourless liquid having a pungent, characteristic odour; Colorless liquid or crystals with a sour, vinegar-like odor; Note: Pure compound is a solid below 62 degrees F. Often used in an aqueous solution; [NIOSH]; Liquid; COLOURLESS LIQUID WITH PUNGENT ODOUR.; clear, colourless liquid/pungent odour; Colorless liquid or crystals with a sour, vinegar-like odor.; Colorless liquid or crystals with a sour, vinegar-like odor. [Note: Pure compound is a solid below 62 °F. Often used in an aqueous solution.]",3300,525,1060,,,,,Burning taste,,,"Pungent; Sour, vinegar-like odor","Odor Threshold Low: 0.03 [ppm]; Odor Threshold High: 0.15 [ppm]; Detection odor threshold from AIHA (mean = 0.074 ppm); Odor Threshold Range: 0.21 to 1.0 ppm; Detection in air is 24.3 ppm (chemically pure); Odor low: 2.5 mg/cu m; Odor high: 2,500 mg/cu m.",,
513-86-0,513-86-0,ACETYL METHYL CARBINOL (ACETOIN),ACETYL METHYL CARBINOL (ACETOIN),179,179,1,CC(C(=O)C)O,CC(=O)C(C)O,,CC(=O)C(C)O,,"Acetyl methyl carbinol appears as a light-yellow colored liquid that can form a crystalline solid when it dimerizes. Slightly denser than water. Hence sinks in water. Used to make other chemicals.; Slightly yellow liquid; [Hawley] Forms solid dimer (C8H16O4) on standing or treatment with granulated zinc; [Merck Index] Slightly yellow liquid or paste; mp = 15 deg C; [MSDSonline]; Liquid; colourless to pale yellow liquid (monomer), or white crystalline powder (dimer) with a buttery odour; A light-yellow colored liquid.",sweet buttery creamy dairy milky fatty,ketone,Oxygenated Aliphatics,0,2008,2008,"apples, asparagus, and black currant",88.10616,88.11,C4H8O2,C4H8O2,148,147,15,90,,0.99,41,45,,0.3586372,,"Sparingly soluble in ether, petroleum ether; Soluble in alcohol, slightly soluble in ether.; Miscible with alcohol, propylene glycol; insoluble in vegetable oil; Miscible in water.; 1000 mg/mL at 20 °C; insoluble in vegetable oils; miscible with alcohol, water, propylene glycol",1000,"solid,liquid",liquid,"Acetyl methyl carbinol appears as a light-yellow colored liquid that can form a crystalline solid when it dimerizes. Slightly denser than water. Hence sinks in water. Used to make other chemicals.; Slightly yellow liquid; [Hawley] Forms solid dimer (C8H16O4) on standing or treatment with granulated zinc; [Merck Index] Slightly yellow liquid or paste; mp = 15 deg C; [MSDSonline]; Liquid; colourless to pale yellow liquid (monomer), or white crystalline powder (dimer) with a buttery odour; A light-yellow colored liquid.",5000,,5000,,,#cdc9ad,5.50,"FATTY CREAMY ""TUB"" BUTTER TASTE",,creamy,"Buttery odor; BLAND, WOODY, YOGURT ODOR",,"Soft, creamy-buttery top note with subtle yogurt and fermented dairy nuances. Adds rich mouthfeel and warm, lactic depth.",Butter
100-52-7,100-52-7,Benzaldehyde (Benzoic aldehyde),Benzaldehyde (Benzoic aldehyde),240,240,1,C1=CC=C(C=C1)C=O,O=Cc1ccccc1,,O=Cc1ccccc1,,"Benzaldehyde appears as a clear colorless to yellow liquid with a bitter almond odor. Flash point near 145 °F. More denser than water and insoluble in water. Hence sinks in water. Vapors are heavier than air. The primary hazard is to the environment. Immediate steps should be taken to limit spread to the environment. Easily penetrates the soil to contaminate groundwater and nearby waterways. Used in flavoring and perfume making.; Liquid; Colorless to yellowish liquid with an odor of almond oil; [AIHA] In air, readily oxidizes to benzoic acid; [CAMEO]; COLOURLESS-TO-YELLOW LIQUID WITH CHARACTERISTIC ODOUR.; colourless to yellow liquid with a sweet, strong almond odour",strong sharp sweet bitter almond cherry,aldehyde,Aromatic Ring Compounds,1,2127,2127,"almonds, apricots, peaches, and cherrie seeds",106.12402,106.12,C6H5CHO,C7H6O,178.89,178,-26.11,-26,,1.041,64.44,62.78,1.27,0.1693194,6950,"less than 0.1 mg/mL at 67.1 °F (NTP, 1992); In water, 6950 mg/L at 25 °C; Approximately 0.6% wt. at 20 °C; Miscible with alcohol, ether, fixed and volatile oils; Soluble in liquid ammonia; Solubility of water in benzaldehyde at 20 °C, wt%: 1.5; 6.95 mg/mL at 25 °C; Solubility in water at 25 °C: poor; very slightly soluble in water; soluble in organic solvents, oils; miscible at room temperature (in ethanol)",,liquid ,gas,"Benzaldehyde appears as a clear colorless to yellow liquid with a bitter almond odor. Flash point near 145 °F. More denser than water and insoluble in water. Hence sinks in water. Vapors are heavier than air. The primary hazard is to the environment. Immediate steps should be taken to limit spread to the environment. Easily penetrates the soil to contaminate groundwater and nearby waterways. Used in flavoring and perfume making.; Liquid; Colorless to yellowish liquid with an odor of almond oil; [AIHA] In air, readily oxidizes to benzoic acid; [CAMEO]; COLOURLESS-TO-YELLOW LIQUID WITH CHARACTERISTIC ODOUR.; colourless to yellow liquid with a sweet, strong almond odour",2850,28,5000,,,#d4aa66,,Burning aromatic taste; Similar to bitter almond,Spicy cinnamon-almonds,Marzipan,Characteristic odor or volatile oil of almond; Odor resembling oil of bitter almond,,"Almonds, sweet, cinnamon, spice","Sweet, Spicy, Alcoholic"
119-84-6,119-84-6,Benzodihydropyrone (Dihydrocoumarin),Benzodihydropyrone (Dihydrocoumarin),660,660,1,C1CC(=O)OC2=CC=CC=C21,O=C1CCc2ccccc2O1,,O=C1CCc2ccccc2O1,,"3,4-dihydrocoumarin is a white to pale yellow clear oily liquid with a sweet odor. Solidifies around room temperature. (NTP, 1992); Liquid; White to light yellow liquid; Colorless solid; [HSDB] Low melting solid; mp = 24-26 deg C; [MSDSonline]; Solid; colourless to pale yellow liquid; coconut-like aroma","Sweet, creamy, coconut, coumarin, vanilla with a slight spice nuance",ketone,Aromatic Ring Compounds,0,2381,2381,Cassia Bark (Cinnamomum aromaticum Nees),148.16116,148.16,C9H8O2,C9H8O2,272.22,271,25,24,,1.186,130,110,,0.53329,,"less than 1 mg/mL at 68 °F (NTP, 1992); Slightly soluble in ether and carbon tetrachloride; 1:2.5-3.5 IN 70% ALCOHOL; Soluble in chloroform.; Soluble in chlorinated solvents; In water, 3,000 mg/l at 37 °C; 3 mg/mL at 37 °C; Slightly soluble in water; soluble in oil; soluble (in ethanol)",3000,"solid,liquid",liquid,"3,4-dihydrocoumarin is a white to pale yellow clear oily liquid with a sweet odor. Solidifies around room temperature. (NTP, 1992); Liquid; White to light yellow liquid; Colorless solid; [HSDB] Low melting solid; mp = 24-26 deg C; [MSDSonline]; Solid; colourless to pale yellow liquid; coconut-like aroma",1460,,5000,,,#8a764b,,Sweet then bitter; Burning,,Waxy,Herbal; Odor similar to coumarin at room temp or reminiscent of nitrobenzene at higher temp.; Coconut odor; Hay-like,,"Marzipan, candle wax, spicy, leather, sour and bitter notes, almond notes, some sweetness","Sweet, Spicy, Sour, Earthy"
17373-93-2,140-11-4,Benzyl Acetate (Benzyl ethanoate),Benzyl Acetate (Benzyl ethanoate),8785,8785,1,CC(=O)OCC1=CC=CC=C1,CC(=O)OCc1ccccc1,,,,"Benzyl acetate is a colorless liquid with an odor of pears. (USCG, 1999); Dry Powder, Liquid, Other Solid; Liquid, Other Solid; Other Solid; Liquid; Colorless liquid with an odor of jasmine or pears; [CHEMINFO]; Liquid; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless liquid with a sweet, fruity, floral (Jasmine) odour; Colorless liquid with an odor of pears.",,,Aromatic Ring Compounds,1,2135,2135,cane sugar and-or sweet potato and Cassia Bark,164.20404,150.17,C9H10O2,C10H12O2,215.5,217.5,-51.5,-51,,1.024,90.56,99.44,0.177,0.01066579099,,"less than 1 mg/mL at 73 °F (NTP, 1992); PRACTICALLY INSOL IN WATER; MISCIBLE WITH ALCOHOL, ETHER; SOL IN BENZENE, CHLOROFORM; Miscible in ethanol, soluble in ethyl ether and acetone.; In water, 3.1 g/l.; 3.1 mg/mL at 25 °C; Solubility in water at 20 °C: none; very slightly soluble in water, glycerol; soluble in organic solvents, oils; miscible at room temperature (in ethanol)",372.8,liquid ,liquid,"Benzyl acetate is a colorless liquid with an odor of pears. (USCG, 1999); Dry Powder, Liquid, Other Solid; Liquid, Other Solid; Other Solid; Liquid; Colorless liquid with an odor of jasmine or pears; [CHEMINFO]; Liquid; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless liquid with a sweet, fruity, floral (Jasmine) odour; Colorless liquid with an odor of pears.",,,,,,,,"BITTER, PUNGENT TASTE",,,"PEAR-LIKE ODOR; CHARACTERISTIC FLOWERY (JASMINE) ODOR; Powerful but thin, sweet floral fresh, fresh and light, fruity odor reminiscent of Jasmin, Gardenia, Muguet, Lily and other flowers.",,,
103-37-7,103-37-7,Benzyl Butyrate (Benzyl butanoate),Benzyl Butyrate (Benzyl butanoate),7650,7650,1,CCCC(=O)OCC1=CC=CC=C1,CCCC(=O)OCc1ccccc1,,CCCC(=O)OCc1ccccc1,,"Liquid; colourless liquid with a heavy fruity-floral, plum-like odour","Fruity, sweet, fresh, waxy, tropical, pineapple and apple",ester,Oxygenated Aliphatics,0,2140,2140,Cassia Bark (Cinnamomum aromaticum Nees) + cane sugar,178.23098,178.23,C11H14O2,C11H14O2,,238,21,21,,1,,107.22,,0.003999672,,"insoluble in water, glycols, glycerol; soluble in organic solvents, oils; miscible at room temperature (in ethanol)",136,liquid ,liquid,"Liquid; colourless liquid with a heavy fruity-floral, plum-like odour",1850,,5000,,,,,,,,,,,
15706-73-7,15706-73-7,Butyl 2-methylbutyrate (Butyl 2-methylbutanoate),Butyl 2-methylbutyrate (Butyl 2-methylbutanoate),61812,44717368,1,CCCCOC(=O)C(C)CC,CCCCOC(=O)C(C)CC,,CCCCOC(=O)C(C)CC,,colourless to pale yellow lquid,fruity tropical green ethereal herbal celery cocoa jammy peach grassy,ester,Oxygenated Aliphatics,0,3393,3393,cane sugar and-or sweet potato,158.24086,158.24,C9H18O2,C9H18O2,,179,,174,,0.856,,57.22,,0.1453214,,,117.8,liquid ,colourless to pale yellow lquid,colourless to pale yellow lquid,,,,,,#b35066,,,Pineapple/Celery,Mint candy,,,"Mint, pineapple candy, fruit candy, camphory notes","Candy, Fruity"
123-86-4,123-86-4,Butyl acetate (Butyl ethanoate),Butyl acetate (Butyl ethanoate),31272,31272,1,CCCCOC(=O)C,CCCCOC(C)=O,,CCCC(=O)OCC,,"Butyl acetate appears as a clear colorless liquid with a fruity odor. Flash point 72 - 88 °F. Density 7.4 lb / gal (less than water). Hence floats on water. Vapors heavier than air.; Liquid; Water or Solvent Wet Solid, Liquid; NKRA; Colorless liquid with a fruity odor; [NIOSH]; Liquid; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless, mobile liquid with a strong fruity odour; Colorless liquid with a fruity odor.",ethereal solvent fruity banana,ester,Oxygenated Aliphatics,0,2174,2174,cane sugar and-or sweet potato and Cassia Bark,116.16004,116.16,C6H9O2,C6H12O2,126.5,126,-77.89,-78,,0.87,22.22,25.56,11.5,1.533207,3,"1 to 5 mg/mL at 68 °F (NTP, 1992); In water, 8.33X10+3 mg/L at 25 °C; In water, 6,700 ppm at 25 °C; Soluble in 120 parts water at 25 °C; In water, 14,000 mg/L at 20 °C; 5,000 mg/L at 25 °C; For more Solubility (Complete) data for n-Butyl acetate (7 total), please visit the HSDB record page.; 8.4 mg/mL at 25 °C; Solubility in water, g/100ml at 20 °C: 0.7; miscible with alcohol, ether, propylene glycol; soluble 1 ml in 145 ml water; 1%",8400,liquid ,gas,"Butyl acetate appears as a clear colorless liquid with a fruity odor. Flash point 72 - 88 °F. Density 7.4 lb / gal (less than water). Hence floats on water. Vapors heavier than air.; Liquid; Water or Solvent Wet Solid, Liquid; NKRA; Colorless liquid with a fruity odor; [NIOSH]; Liquid; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless, mobile liquid with a strong fruity odour; Colorless liquid with a fruity odor.",10768,6000,3200,,,#afabab,,"Burning and then sweet taste reminiscent of pineapple; Pleasant, banana-like taste",Nail polish,Sweet acetone,Strong fruity odor; Sweet; Fruity odor,Odor Threshold Low: 0.06 [ppm]; Odor Threshold High: 7.4 [ppm]; Detection odor threshold from AIHA (mean = 0.31 ppm); Odor thresholds of 7 ppm and 20 ppm have been reported.; Detection in water: 0.066 mg/kg; 0.043 mg/kg; 33.13 mg/cu m (odor low); 94.66 mg/cu m (odor high).,"Acetone, nail polish, creamy notes, sugary sweet","Alcoholic, Sweet"
7492-70-8,7492-70-8,Butyl Butyryl Lactate,Butyl Butyryl Lactate,24114,24114,1,CCCCOC(=O)C(C)OC(=O)CCC,CCCCOC(=O)C(C)OC(=O)CCC,,"CCCCOC(=O)C(C)OC(=O)CCC
",,"colourless to pale yellow liquid with a sweet-sour, buttermilk odour","Creamy, fatty and dairy-like, with waxy, sweaty and green nuances",ester,Oxygenated Aliphatics,0,2190,2190,cane sugar and-or sweet potato,216.2772,216.27,C11H20O4,C11H20O4,,256,,20,,0.96,,100,,0.00079993432,,"slightly soluble in water; soluble in organic solvents, oils, propylene glycol; miscible at room temperature (in ethanol)",150,liquid ,liquid,"colourless to pale yellow liquid with a sweet-sour, buttermilk odour",,,,,,#fff8e0,,,Sweet cocoa,"Nutty, sweet cocoa",,,"Milky, creamy, cocoa, hazel nuts, marzipan","Creamy, Nutty"
138-22-7,138-22-7,Butyl lactate,Butyl lactate,8738,8738,1,CCCCOC(=O)C(C)O,CCCCOC(=O)C(C)O,,CCCCOC(=O)C(C)O,,"Butyl lactate appears as a clear colorless liquid with a mild odor. Flash point 168 °F. Less dense than water and insoluble in water. Vapors heavier than air. Used as a solvent, and to make other chemicals.; Clear, colorless to white liquid with a mild, transient odor; [NIOSH]; Liquid; colourless liquid with a faint, sweet, buttery odour; Clear, colorless to white liquid with a mild, transient odor.","Creamy, dairy, milky, earthy, ketonic, waxy, lactonic, vanilla and cheesy",ester,Oxygenated Aliphatics,0,2205,2205,,146.18,146.18,C7H14O3,C7H14O3,187.78,186,-42.78,-28,,0.97,71.11,69.44,0.4,0.05332895497,4,"Slight (NIOSH, 2024); Miscible with many lacquer solvents, diluents, oils, slightly soluble in water; Very soluble in ethyl ether, ethanol; In water, 3.846X10+4 mg/L at 20 °C; 40 mg/mL at 20 °C; slightly soluble in water; soluble in organic solvents, oils; miscible (in ethanol); Slight",0.0004,liquid ,gas,"Butyl lactate appears as a clear colorless liquid with a mild odor. Flash point 168 °F. Less dense than water and insoluble in water. Vapors heavier than air. Used as a solvent, and to make other chemicals.; Clear, colorless to white liquid with a mild, transient odor; [NIOSH]; Liquid; colourless liquid with a faint, sweet, buttery odour; Clear, colorless to white liquid with a mild, transient odor.",5000,,5000,,,#eeeacb,4.50,,,creamy,"Mild, transient odor",,"Creamy, buttery, and milky, reminiscent of various lactones with a slightly cheesy note",Creamy
